"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6750","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/250900","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","14-May-2026","Shivam Bricks Industry","Payment Success","7670"
"6751","Punjab","Construction of veterinary hospitals and dispensaries","WS/MP18158/2025-2026/203150","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","20-May-2026","Sohal traders","Payment Success","20700"
"6752","Chandigarh","Providing drains and gutters for public drainage","WS/MP18047/2024-2025/176002","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","19-May-2026","Ram Partap Yadav","Payment Success","196013"
"6753","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18158/2025-2026/199636","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","14-May-2026","Bhagat Singh Building Material Store","Payment Success","15600"
"6754","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18158/2025-2026/199636","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","14-May-2026","ms Ghuman Cement Store","Payment Success","24000"
"6755","Karnataka","Construction of community centers and community halls","WS/MP18083/2026-2027/264638","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","14-May-2026","RAJESH K","Payment Success","299799"
"6756","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/218858","HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","07-Aug-2026","KAPIL KESHAVRAO AMBHORE","Payment Success","2965232"
"6757","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/218864","HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","15-May-2026","KAPIL KESHAVRAO AMBHORE","Payment Success","1493124"
"6758","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/214280","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-May-2026","DABKA GROUP GRAM PANCHAYAT","Payment Success","197799"
"6759","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/214267","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-May-2026","SANKLI GRAM PANCHAYAT","Payment Success","198371"
"6760","Rajasthan","Purchase of IT systems, including hardware and software for educational purposes","WS/MP727/2024-2025/142175","KOTA(DISTRICT COLLECTOR KOTA_IDA)","Om Birla","KOTA","14-May-2026","MEENA ENTERPRISES","Payment Success","66000"
"6761","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18310/2025-2026/200838","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","18-May-2026","RABINDRA KUMAR NAYAK","Payment Success","300000"
"6762","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/256053","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","21-May-2026","prakash chandra arya","Payment Success","7575"
"6763","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/202411","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","prakash chandra arya","Payment Success","15150"
"6764","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","KHUSHAL SINGH","Payment Success","10010"
"6765","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","DIPENDRA SINGH","Payment Success","9555"
"6766","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","MAHESH CHANDRA SINGH","Payment Success","9555"
"6767","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","TIRLOK SINGH","Payment Success","9555"
"6768","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","LATA DEVI","Payment Success","6325"
"6769","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","MUNNI DEVI","Payment Success","6325"
"6770","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","GOPAL RAM","Payment Success","6325"
"6771","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","PANI RAM","Payment Success","6325"
"6772","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","KAILASH CHANDRA","Payment Success","6325"
"6773","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","VIPIN CHANDRA","Payment Success","6325"
"6774","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","CHATUR SINGH","Payment Success","6325"
"6775","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","LALIT MOHAN SINGH BOHRA","Payment Success","6050"
"6776","Maharashtra","Construction of buildings for community cultural activities","WS/MP18132/2025-2026/174564","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","14-Jul-2026","OM MAJUR SAHAKARI SANSTHA LTD","Payment Success","988619"
"6777","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP331/2025-2026/242070","SAMBA(Deputy Commissioner Samba_IDA)","Shri Jugal Kishore Sharma","JAMMU","26-May-2026","Lalit Kumar","Payment Success","160000"
"6778","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP723/2025-2026/230768","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Gajendra Singh Shekhawat","JODHPUR","18-May-2026","Maa Bhadariya Rai Enterprises","Payment Success","491827"
"6779","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP746/2026-2027/287433","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","22-Jun-2026","NOORDEEN","Payment Success","898544"
"6780","West Bengal","Construction of boundary walls of existing public and community buildings","WS/MP852/2025-2026/231682","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","18-May-2026","JOHA SEKH","Payment Success","488983"
"6781","Maharashtra","Construction of buildings for community cultural activities","WS/MP18132/2025-2026/226543","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","14-Jul-2026","SHAILESH DEEPAK PARAMANE","Payment Success","1000000"
"6782","Maharashtra","Construction of public libraries and reading rooms","WS/MP18119/2025-2026/163414","GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA)","DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR(ST)","05-Aug-2026","Dnyneshwar Ramji Bhanderkar","Payment Success","926097"
"6783","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18132/2025-2026/174580","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","15-Jul-2026","PRAJWAL TUKARAM SHINDE","Payment Success","1000000"
"6784","Odisha","Construction of community centers and community halls","WS/MP18310/2025-2026/200960","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","22-Jun-2026","MR MANIBHADRA ROUT","Payment Success","338948"
"6785","Kerala","Purchase of vehicles for mobile libraries","WS/MP632/2025-2026/203018","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","15-May-2026","NSS GIRLS HIGH SCHOOL KARUKACHAL","Payment Success","65500"
"6786","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2025-2026/211371","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","18-May-2026","UDAY KUMAR M H","Payment Success","199995"
"6787","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP351/2025-2026/141849","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","15-May-2026","ANAGHBABU P","Payment Success","671276"
"6788","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP413/2025-2026/249812","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","22-Jun-2026","SONI CONSTRUCTION","Payment Success","490347"
"6789","Odisha","Construction of rooms and halls in school and colleges","WS/MP18143/2025-2026/244209","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","19-May-2026","Bijaya Kumar Nayak","Payment Success","348383"
"6790","Odisha","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18143/2025-2026/249914","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","19-May-2026","Bijaya Kumar Nayak","Payment Success","158916"
"6791","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP478/2025-2026/154205","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","16-May-2026","Prem Singh","Payment Success","250000"
"6792","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/155823","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","15-May-2026","RAJKAPOOR SINGH CONTRACTOR","Payment Success","488079"
"6793","Uttarakhand","Purchase of IT systems, including hardware and software for educational purposes","WS/MP021/2026-2027/261210","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","30-May-2026","ODC CARD CALENDAR","Payment Success","299994"
"6794","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/261620","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","15-May-2026","Baldev Raj massn","Payment Success","38700"
"6795","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP343/2025-2026/244529","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","25-Jun-2026","V ANIL KUMAR","Payment Success","733521"
"6796","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18154/2025-2026/215779","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","15-May-2026","Riar cement store","Payment Success","54750"
"6797","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18026/2025-2026/251148","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","25-May-2026","ASSAM ENTERPRISE","Payment Success","750000"
"6798","Punjab","Construction of buildings for multi-gym","WS/MP18311/2025-2026/219447","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","11-Jun-2026","Jagtar Singh Sarpanch","Payment Success","57218"
"6799","Punjab","Construction of buildings for multi-gym","WS/MP18311/2025-2026/219447","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","19-May-2026","MS Milkhi Ram BKO","Payment Success","36040"
"6800","Punjab","Construction of buildings for multi-gym","WS/MP18311/2025-2026/219447","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","19-May-2026","MS Milkhi Ram BKO","Payment Success","36040"
"6801","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP18112/2025-2026/189005","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","18-May-2026","SANKET ASHOKRAO BOKE","Payment Success","891074"
"6802","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/255792","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","18-May-2026","ADHYAKSH GRAMKOSH SFC DHOLKA","Payment Success","500000"
"6803","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/255789","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","18-May-2026","ADHYAKSH GRAMKOSH SFC TITARI","Payment Success","500000"
"6804","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/255791","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","25-May-2026","ADHYAKSH GRAMKOSH SFC MORDA","Payment Success","500000"
"6805","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/255790","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","11-Aug-2026","ADHYAKSH GRAMKOSH SFC PANCHED","Payment Success","500000"
"6806","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/209595","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","10-Aug-2026","GANGADURAI CONTRACTOR","Payment Success","585781"
"6807","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200523","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","23-May-2026","GANGADURAI CONTRACTOR","Payment Success","1097655"
"6808","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/209595","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","23-May-2026","GANGADURAI CONTRACTOR","Payment Success","512911"
"6809","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP360/2026-2027/211304","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","16-May-2026","Gp Khalana","Payment Success","300000"
"6810","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP360/2025-2026/258265","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","16-May-2026","Gp Dhulmahu","Payment Success","500000"
"6811","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP853/2025-2026/166036","Malda(DISTRICT MAGISTRATE MALDA_IDA)","Khagen Murmu","MALDAHA UTTAR","15-May-2026","RAHAMAN CONSTRUCTION","Payment Success","1399456"
"6812","Madhya Pradesh","Purchase of mobile water tankers","WS/MP640/2026-2027/273067","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","15-Jun-2026","Maa Sharda Valding Work Shop","Payment Success","150000"
"6813","Telangana","Providing supply pipelines for drinking water","WS/MP18389/2026-2027/161132","JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA)","KADIYAM KAVYA","WARANGEL(SC)","20-May-2026","Maraneni Upender Rao","Payment Success","199222"
"6814","Madhya Pradesh","Construction of shelters for animals","WS/MP18101/2026-2027/261591","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","18-May-2026","SHRI RAM GAUSHALA EVAM PARYAVARAN SAMVARDHAN KENDRA HATTA","Payment Success","700000"
"6815","Haryana","Construction of rooms and halls in school and colleges","WS/MP18065/2025-2026/205737","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","13-May-2026","Sunil Kumar Contractor","Payment Success","1099708"
"6816","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18099/2026-2027/286582","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","ALOK SHARMA","BHOPAL","11-Aug-2026","langarpur","Payment Success","350000"
"6817","Bihar","Providing drains and gutters for public drainage","WS/MP18044/2025-2026/194835","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","13-May-2026","NIRA DEVI","Payment Success","1291631"
"6818","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP524/2025-2026/215302","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","08-Jul-2026","S SAYYADSABVALI","Payment Success","183546"
"6819","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/209588","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","14-May-2026","BANUPRIYA TRADERS","Payment Success","1099818"
"6820","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18351/2026-2027/275505","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","25-May-2026","Thuvva Bhageeratha Reddy","Payment Success","499074"
"6821","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18351/2026-2027/275504","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","25-May-2026","Thuvva Bhageeratha Reddy","Payment Success","482784"
"6822","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18351/2025-2026/258429","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","25-May-2026","Thuvva Bhageeratha Reddy","Payment Success","496078"
"6823","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18351/2025-2026/258431","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","25-May-2026","Thuvva Bhageeratha Reddy","Payment Success","499190"
"6824","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","19-May-2026","Nishan Singh","Payment Success","68000"
"6825","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","23-Jun-2026","Nishan Singh","Payment Success","68000"
"6826","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2025-2026/206055","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","25-May-2026","VM TRADERS","Payment Success","699648"
